Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
10/30/2020,Love You From a Distance,Ashley Kutcher,1600,1837,1985,2101,2206,2290,2349,2439,2529,2566,2580,2619,2642,2662,2683,2715,2725,2738,2767,2786,2798,2805,2810,2824,2834,2831,2827,2851,2872,2887,2899
11/02/2020,Rat,Penelope Scott,2829,2839,2862,2888,2922,2961,3015,3048,3075,3091,3119,3154,3167,3172,3201,3225,3241,3248,3255,3288,3330,3358,3381,3388,3401,3422,3441,3450,3468,3476,3489
11/04/2020,Adderall (Corvette Corvette),Popp Hunna,940500,1200000,1400000,1700000,2100000,2500000,2900000,3300000,3800000,4400000,5100000,5900000,6500000,7100000,7700000,8300000,9000000,9700000,10500000,11000000,11500000,12100000,12700000,13200000,13900000,14500000,14900000,15300000,15700000,16000000,16400000
11/09/2020,L3ft 2ight,ShowtimeKwan,40500,43500,47300,50500,53400,55800,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2020,Crazy,J Nanks,231,256,281,307,323,341,350,380,405,428,450,460,465,521,545,565,576,586,593,598,596,604,610,610,612,615,624,621,,,
11/14/2020,Where U At?,MoneyatMidnight,403200,424500,447600,471800,492600,513900,530900,542300,554800,562000,572300,584500,592800,598900,606300,613400,618500,624600,629500,633300,636500,640500,,,,,,,,,
11/14/2020,Walk With Me,GoldFord,93,93,95,95,95,97,98,98,98,100,103,104,104,105,106,107,107,107,107,107,108,,,,,,,,,,
11/18/2020,Viernes 13,Marcos Menchaca,61400,61800,62200,62500,62800,63000,63300,63700,63800,64000,64300,64500,64600,64800,65000,65100,65200,65300,,,,,,,,,,,,,
11/18/2020,Out the Frame,Marv Allen,245400,278900,323600,384500,477400,524500,570300,624400,688000,768200,825700,880700,916600,950400,981100,1000000,1000000,1100000,1100000,1100000,,,,,,,,,,,
11/22/2020,Hailey,WRENN,247,317,372,423,471,501,589,625,668,697,729,766,788,,,,,,,,,,,,,,,,,,
11/30/2020,She Gone Enter,lil.eaarl,91200,98900,106600,114300,121500,130800,138800,144200,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Feelings,ssgkobe,49,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Sandlot,ssgkobe,59,58,58,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Chanel Bag,KillBunk,3209,3590,3975,4433,5071,5730,6319,7060,8014,9143,9766,,,,,,,,,,,,,,,,,,,,
12/01/2020,Jugg,KillBunk,5,7,8,9,12,14,15,18,21,27,30,,,,,,,,,,,,,,,,,,,,
12/02/2020,Crucial,Alshawn Martin,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Pretend,Kill Jasper,0,0,0,0,6,7,9,9,10,14,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Toxic Traits,SBE KP,24,24,24,24,25,25,27,26,26,28,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Mrs Magic,Strawberry Guy,24800,26500,29700,33000,35500,38400,41100,43700,46400,48000,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Hood Bitch,Fam0us.Twinsss,36700,37200,38600,39700,40500,41000,41600,42100,42700,43000,,,,,,,,,,,,,,,,,,,,,
12/03/2020,If I Could Do It All Again,Loser,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
12/03/2020,treasure hunter,Loser,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
12/07/2020,You,Yung Trip,11900,12100,12300,12300,12400,12400,12500,12500,,,,,,,,,,,,,,,,,,,,,,,
12/07/2020,Bonita,Amaru Cloud,27,26,26,26,26,26,26,27,27,27,28,28,26,26,26,26,26,26,24,24,24,0,25,25,27,27,27,27,27,27,27
