V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
-1.857705609,-1.774360366,-1.657677027,-1.390972252,-1.265954388,-1.107598428,-1.007584137,-0.890900798,-0.782551983,-0.607526974,-0.432501965,-0.349156723,-0.182466239,0.150914731,0.250929021,0.317605215,0.375946885,0.559306418,0.584309991,0.70099333,0.725996902,0.792673096,0.85934929,0.976032629,1.034374299,1.092715968,1.192730259,1.201064783,1.259406453,1.309413598,-0.07680598
-1.593409899,-1.46592331,-1.389431357,-1.261944768,-1.159955497,-1.057966227,-0.930479638,-0.80299305,-0.675506461,-0.548019872,-0.395035966,-0.114565471,0.012921117,0.140407706,0.242396977,0.369883565,0.446375518,0.548364789,0.675851378,0.803337966,0.905327237,1.032813826,1.134803097,1.21129505,1.338781638,1.415273591,1.54276018,1.670246769,-0.698536296,-0.698536296,-0.698536296
-1.798421649,-1.798421649,-1.460536369,-1.12265109,-1.12265109,-1.12265109,-1.12265109,-0.78476581,-0.78476581,-0.446880531,-0.446880531,-0.446880531,-0.108995251,-0.108995251,-0.108995251,-0.108995251,0.228890028,0.228890028,0.228890028,0.228890028,0.566775307,0.566775307,0.904660587,0.904660587,0.904660587,1.242545866,1.242545866,1.242545866,1.242545866,1.580431146,1.580431146
-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,-0.524358599,0.087180981,0.087180981,0.087180981,0.69872056,0.69872056,1.31026014,1.31026014,1.31026014,1.31026014,1.31026014,1.31026014,1.31026014,1.31026014,1.31026014,-1.431804427,-1.431804427,-1.431804427,-1.431804427,-1.431804427
-0.157649601,-0.157649601,-1.73304978,-1.598736695,-1.478049575,-1.341789924,-1.156866112,-1.05953779,-0.99335453,-0.915491873,-0.870720844,-0.820110117,-0.459995325,-0.26533868,-0.070682035,-0.070682035,0.123974609,0.318631254,0.513287898,0.513287898,0.707944543,0.707944543,0.902601187,0.902601187,0.902601187,0.902601187,0.902601187,0.902601187,1.486571121,1.681227765,1.681227765
-1.364697669,-1.336380445,-1.336380445,-1.279745997,-1.185355252,-0.958817462,-0.807792269,-0.807792269,-0.779475045,-0.600132629,-0.411351137,-0.213130571,-0.165935198,0.117237039,0.211627784,0.315457604,0.532556319,0.664703363,0.721337811,0.891241153,1.051705421,1.382073031,1.457585627,1.703001566,1.806831386,2.014491027,-0.324572548,-0.324572548,-0.324572548,-0.324572548,-0.324572548
-1.347030525,-1.236466986,-1.089048935,-0.978485397,-0.831067346,-0.831067346,-0.683649295,-0.573085756,-0.444094962,-0.29667691,-0.167686116,0.035013705,0.200859012,0.329849807,0.495695114,0.624685909,0.845812986,1.011658294,1.214358114,1.417057934,1.564475985,1.711894036,1.840884831,1.988302882,-0.686027005,-0.686027005,-0.686027005,-0.686027005,-0.686027005,-0.686027005,-0.686027005
-1.673418556,-1.588086204,-1.423516666,-1.277232633,-1.173614777,-1.06999692,-0.978569399,-0.874951542,-0.783524022,-0.655525493,-0.509241459,-0.417813939,-0.332481586,-0.247149233,-0.137436209,-0.03991352,0.106370513,0.24046421,0.325796563,0.417224084,0.520841941,0.624459797,0.728077654,0.892647191,1.014550552,1.118168409,1.215691098,1.313213787,1.435117148,1.544830172,1.685019038
-2.040342029,-1.943182885,-1.748864596,-1.263068875,-0.971591442,-0.874432298,-0.874432298,-0.582954865,-0.388636577,-0.291477433,-0.291477433,-0.291477433,-0.097159144,-0.097159144,-0.097159144,-0.097159144,0,0.194318288,0.194318288,0.194318288,0.291477433,0.388636577,0.582954865,0.777273154,0.971591442,1.068750587,1.263068875,1.263068875,1.457387163,1.651705452,1.651705452
-2.191200084,-1.882907183,-1.677378582,-1.369085681,-0.958028479,-0.855264178,-0.752499878,-0.752499878,-0.752499878,-0.752499878,-0.444206976,-0.341442676,-0.238678375,0.069614526,0.069614526,0.172378827,0.275143127,0.377907428,0.377907428,0.480671728,0.686200329,0.686200329,0.686200329,0.78896463,0.99449323,0.99449323,1.097257531,1.200021831,1.200021831,1.405550432,1.405550432
-1.827304012,-1.746046814,-1.553060968,-1.410860871,-1.258503624,-1.126460677,-1.024889179,-0.872531932,-0.750646135,-0.577974588,-0.46624594,-0.313888694,-0.171688596,-0.070117099,0.031454399,0.122868747,0.204125946,0.305697444,0.47836899,0.559626188,0.651040537,0.722140585,0.813554933,0.884654982,0.96591218,1.067483678,1.138583727,1.209683775,1.270626674,1.341726722,1.402669621
-1.385532395,-1.331634481,-1.262337163,-1.208439249,-1.146841633,-1.069844613,-1.008246997,-0.946649381,-0.897884602,-0.81318788,-0.736190861,-0.638661302,-0.494933532,-0.317840386,-0.176679183,-0.040651115,0.062011578,0.159541137,0.318668311,0.441863543,0.575325044,0.67542117,0.78065043,0.891012825,0.996242086,1.122003885,1.222100011,1.345295242,1.460790772,1.625051081,1.799577659
-1.756426877,-1.710372359,-1.622101199,-1.499289152,-1.389270025,-1.176907526,-1.047699017,-0.850688023,-0.776489078,-0.520630644,-0.392701428,-0.264772211,-0.136842994,-0.008913778,0.119015439,0.246944656,0.246944656,0.374873872,0.374873872,0.502803089,0.630732306,0.758661522,0.758661522,0.886590739,1.014519955,1.014519955,1.142449172,1.142449172,1.270378389,1.270378389,1.398307605
-1.649885783,-1.596608222,-1.330220413,-1.223665289,-1.010555042,-1.010555042,-0.957277481,-0.903999919,-0.850722357,-0.690889672,-0.531056987,-0.477779425,-0.371224301,-0.31794674,-0.264669178,-0.104836492,-0.051558931,0.001718631,0.26810644,0.427939125,0.641049372,0.747604496,1.013992304,1.013992304,1.013992304,1.17382499,1.227102551,1.386935237,1.440212798,1.49349036,1.49349036
-1.4186341,-1.4186341,-1.202527677,-1.202527677,-1.094474465,-1.094474465,-1.094474465,-0.986421254,-0.986421254,-0.878368042,-0.662261619,-0.446155196,-0.446155196,-0.338101984,-0.338101984,-0.121995561,0.094110862,0.202164073,0.310217285,0.418270496,0.418270496,0.958536554,1.174642977,1.174642977,1.282696189,1.282696189,1.282696189,1.282696189,1.282696189,1.282696189,1.282696189
-2.023829154,-2.023829154,-1.850517818,-1.677206481,-1.330583809,-1.330583809,-0.810649799,-0.464027127,-0.29071579,-0.29071579,-0.29071579,-0.117404454,0.055906883,0.055906883,0.229218219,0.229218219,0.229218219,0.229218219,0.575840892,0.575840892,0.749152228,0.749152228,0.749152228,0.749152228,0.749152228,1.095774901,1.095774901,1.095774901,1.095774901,1.095774901,1.095774901
