Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
09/30/2020,Pull Up,LMB DG,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10/02/2020,Whoopty,CJ,0,0,3,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,Debacle,Epwoppomusic,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2020,Die Very Rough,Mario Judah,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
10/11/2020,Fuck Up the Friendship,Leah Kate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2020,BookBag 2.0,BigKayBeezy,49,0,0,0,0,0,0,0,0,0,49,0,49,45,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10/29/2020,Violent,carolesdaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2020,Love You From a Distance,Ashley Kutcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Rät,Penelope Scott,0,0,0,0,0,0,13,12,11,9,9,9,9,9,8,8,8,7,7,7,7,9,9,9,11,11,11,12,10,8,
11/4/2020,Adderall (Corvette Corvette),Popp Hunna,0,0,0,0,0,0,9,7,7,7,6,6,6,6,5,5,5,5,5,5,7,7,7,6,6,6,7,11,11,12,12
11/09/2020,L3ft 2ight,ShowtimeKwan,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
