Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
04/05/2021,Yucky Blucky Fruitcake,Iamdoechii,x,x,x,6900,7400,7700,7900,8200,8400,8500,8600,8800,9000,9200,9500,9700,9900,10100,10500,10600,10800,11000,11200,11400,11600,11900,12100,12300,12500,12700,12900
04/08/2021,Gangstas & Ratchets,Lil Vada,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/08/2021,Rugrat,Davine Jay,11200,11200,11200,11300,11300,11400,11400,11500,11500,11600,11600,11700,11700,11800,11800,11900,11900,12000,12000,12100,12100,12100,12200,12200,12200,12300,12300,12300,12400,12400,12400
04/08/2021,Prom Night,Riovaz,6300,7400,8500,9600,10400,10600,12300,13300,14100,14900,15100,15200,15300,15300,15500,15600,15700,15800,15900,16100,16100,16400,16400,16400,16600,16700,16600,16900,17000,17100,17200
04/10/2021,FYOTP,Too Much,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/12/2021,Wit My Hoe,Katozai,38200,39400,39400,39400,39400,46500,47900,49900,51200,52800,55100,57100,68800,77500,85700,97700,104100,111700,118200,124300,130200,135500,141700,147400,152700,157600,162700,168300,174100,180200,185700
04/13/2021,Exless,Kate Stephenson,x,x,5200,5600,5700,5800,5900,6000,6000,6100,6100,6200,6200,6200,6300,6300,6400,6400,6400,6500,6500,6600,6600,6700,6700,6700,6700,6800,6800,6800,6800
04/15/2021,CHET HANKS,Big Meez,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/18/2021,Fastcar,Stoneysworldd,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/20/2021,KILL BILL,HateSonny,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/22/2021,Hate,Kahlil4mb,11700,12400,12600,13100,13600,14200,14700,15100,15600,16100,16600,17000,17600,18700,20000,21900,23200,24300,25400,26600,27600,28500,29300,30000,30600,31000,31500,32000,32500,x (listing changed),x
04/27/2021,Whatchu Do,10k.Caash,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/28/2021,Beating Down Yo Block,Monaleo,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
04/30/2021,Bestfriend,Novaakan3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
05/05/2021,Addicted to Finessing,Retro Messiah,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
05/06/2021,Cabelas,Skurt,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
05/16/2021,S.I.M.P,Kylesimps,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
05/16/2021,Freaky Bih from Da A,Louisvt,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
05/20/2021,Hold On,Lonni Monae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
